Time,x,y,z
1787287646891931648.000000,0.437825,-0.006589,-2.667432
1787287646896931840.000000,0.442826,-0.001281,-2.661988
1787287646901931776.000000,0.447826,0.005710,-2.659005
1787287646906931712.000000,0.452825,-0.007980,-2.667533
1787287646911931648.000000,0.457825,-0.007167,-2.662771
1787287646916931840.000000,0.462826,-0.007292,-2.662032
1787287646921931776.000000,0.467826,-0.002190,-2.667672
1787287646926931712.000000,0.472825,-0.008350,-2.662518
1787287646931931648.000000,0.477825,-0.018440,-2.660285
1787287646936931840.000000,0.482826,-0.026552,-2.660289
1787287646941931776.000000,0.487826,-0.023619,-2.670286
1787287646946931712.000000,0.492825,-0.014907,-2.666269
1787287646951931648.000000,0.497825,-0.006815,-2.667936
1787287646956931840.000000,0.502826,-0.018140,-2.675014
1787287646961931776.000000,0.507826,-0.004433,-2.668870
1787287646966931712.000000,0.512825,0.003518,-2.675962
1787287646971931648.000000,0.517825,0.003075,-2.680249
1787287646976931840.000000,0.522826,-0.003130,-2.666821
1787287646981931776.000000,0.527826,-0.013963,-2.667222
1787287646986931712.000000,0.532825,-0.007399,-2.661610
1787287646991931648.000000,0.537825,-0.018651,-2.665320
1787287646996931840.000000,0.542826,-0.013200,-2.665074
1787287647001931776.000000,0.547826,-0.020313,-2.665757
1787287647006931712.000000,0.552825,-0.002891,-2.661269
1787287647011931648.000000,0.557825,-0.015610,-2.663385
1787287647016931840.000000,0.562826,-0.009320,-2.663587
1787287647021931776.000000,0.567826,0.006692,-2.665756
1787287647026931712.000000,0.572825,-0.005585,-2.665393
1787287647031931648.000000,0.577825,-0.000427,-2.666551
1787287647036931840.000000,0.582826,-0.002985,-2.658159
1787287647041931776.000000,0.587826,-0.012120,-2.664031
1787287647046931712.000000,0.592825,0.004317,-2.674784
1787287647051931648.000000,0.597825,-0.002938,-2.669510
1787287647056931840.000000,0.602826,-0.001468,-2.667035
1787287647061931776.000000,0.607826,-0.009009,-2.670905
1787287647066931712.000000,0.612825,-0.006863,-2.671331
1787287647071931648.000000,0.617825,-0.023467,-2.676144
1787287647076931840.000000,0.622826,-0.026988,-2.668380
1787287647081931776.000000,0.627826,-0.029932,-2.669478
1787287647086931712.000000,0.632825,-0.026651,-2.660780
1787287647091931648.000000,0.637825,-0.022337,-2.660922
1787287647096931840.000000,0.642826,-0.013042,-2.671454
1787287647101931776.000000,0.647826,-0.000188,-2.666279
1787287647106931712.000000,0.652825,0.003953,-2.663802
1787287647111931648.000000,0.657825,-0.002658,-2.669419
1787287647116931840.000000,0.662826,-0.000696,-2.669362
1787287647121931776.000000,0.667826,-0.014490,-2.677377
1787287647126931712.000000,0.672825,-0.006913,-2.669882
1787287647131931648.000000,0.677825,0.000610,-2.670221
1787287647136931840.000000,0.682826,-0.003071,-2.670186
1787287647141931776.000000,0.687826,-0.002898,-2.669000
1787287647146931712.000000,0.692825,-0.001466,-2.668445
1787287647151931648.000000,0.697825,-0.003080,-2.657843
1787287647156931840.000000,0.702826,-0.002778,-2.670772
1787287647161931776.000000,0.707826,-0.011414,-2.669040
1787287647166931712.000000,0.712825,-0.015565,-2.672490
1787287647171931648.000000,0.717825,-0.025831,-2.670290
1787287647176931840.000000,0.722826,-0.024402,-2.671678
1787287647181931776.000000,0.727826,-0.025278,-2.673009
1787287647186931712.000000,0.732825,-0.010783,-2.674910
1787287647191931648.000000,0.737825,-0.005770,-2.678429
1787287647196931840.000000,0.742826,0.001453,-2.674142
1787287647201931776.000000,0.747826,0.013870,-2.661448
1787287647206931712.000000,0.752825,0.009922,-2.666080
1787287647211931648.000000,0.757825,0.003151,-2.669286
1787287647216931840.000000,0.762826,-0.005070,-2.667096
1787287647221931776.000000,0.767826,-0.018951,-2.663266
1787287647226931712.000000,0.772825,-0.025444,-2.670752
1787287647231931648.000000,0.777825,-0.023241,-2.663734
1787287647236931840.000000,0.782826,-0.029929,-2.661601
1787287647241931776.000000,0.787826,-0.027777,-2.664070
1787287647246931712.000000,0.792825,-0.014514,-2.659587
1787287647251931648.000000,0.797825,-0.007045,-2.672395
1787287647256931840.000000,0.802826,0.003095,-2.676369
1787287647261931776.000000,0.807826,0.003325,-2.673532
1787287647266931712.000000,0.812825,0.004435,-2.667507
1787287647271931648.000000,0.817825,-0.002846,-2.677428
1787287647276931840.000000,0.822826,-0.005525,-2.662829
1787287647281931776.000000,0.827826,-0.006418,-2.666949
1787287647286931712.000000,0.832825,-0.008371,-2.668269
1787287647291931648.000000,0.837825,-0.022165,-2.664791
1787287647296931840.000000,0.842826,-0.009933,-2.664149
1787287647301931776.000000,0.847826,-0.006328,-2.660152
1787287647306931712.000000,0.852825,-0.021293,-2.653938
1787287647311931648.000000,0.857825,-0.016466,-2.660468
1787287647316931840.000000,0.862826,-0.011116,-2.661980
1787287647321931776.000000,0.867826,-0.003929,-2.664128
1787287647326931712.000000,0.872825,-0.001016,-2.659606
1787287647331931648.000000,0.877825,-0.004528,-2.656543
1787287647336931840.000000,0.882826,-0.008001,-2.662986
1787287647341931776.000000,0.887826,-0.002635,-2.670084
1787287647346931712.000000,0.892825,-0.010117,-2.668084
1787287647351931648.000000,0.897825,-0.005972,-2.667191
1787287647356931840.000000,0.902826,-0.009508,-2.658303
1787287647361931776.000000,0.907826,-0.018948,-2.661717
1787287647366931712.000000,0.912825,-0.010830,-2.668694
1787287647371931648.000000,0.917825,-0.003883,-2.670567
1787287647376931840.000000,0.922826,-0.015611,-2.664227
1787287647381931776.000000,0.927826,0.001866,-2.658855
1787287647386931712.000000,0.932825,-0.003006,-2.663917
1787287647391931648.000000,0.937825,-0.010159,-2.682966
1787287647396931840.000000,0.942826,-0.001473,-2.673879
1787287647401931776.000000,0.947826,-0.012553,-2.683028
1787287647406931712.000000,0.952825,-0.005149,-2.678237
1787287647411931648.000000,0.957825,-0.011653,-2.672315
1787287647416931840.000000,0.962826,-0.013579,-2.674582
1787287647421931776.000000,0.967826,-0.010337,-2.673575
1787287647426931712.000000,0.972825,-0.011287,-2.664632
1787287647431931648.000000,0.977825,-0.011243,-2.666696
1787287647436931840.000000,0.982826,0.000843,-2.658695
1787287647441931776.000000,0.987826,-0.005697,-2.665363
1787287647446931712.000000,0.992825,0.001295,-2.655621
1787287647451931648.000000,0.997825,-0.012538,-2.662455
1787287647456931840.000000,1.002826,-0.002706,-2.663382
1787287647461931776.000000,1.007826,-0.010995,-2.661545
1787287647466931712.000000,1.012825,-0.011612,-2.662108
1787287647471931648.000000,1.017825,-0.005038,-2.657965
1787287647476931840.000000,1.022826,-0.019474,-2.665928
1787287647481931776.000000,1.027826,-0.018189,-2.667662
1787287647486931712.000000,1.032825,-0.012230,-2.668421
1787287647491931648.000000,1.037825,-0.002550,-2.682525
1787287647496931840.000000,1.042826,-0.002918,-2.665349
1787287647501931776.000000,1.047826,-0.015597,-2.657213
1787287647506931712.000000,1.052825,-0.003741,-2.675328
1787287647511931648.000000,1.057825,-0.007645,-2.661839
1787287647516931840.000000,1.062826,-0.014241,-2.669340
1787287647521931776.000000,1.067826,-0.009941,-2.671001
1787287647526931712.000000,1.072825,-0.010132,-2.670512
1787287647531931648.000000,1.077825,-0.001098,-2.665801
1787287647536931840.000000,1.082826,-0.011427,-2.674501
1787287647541931776.000000,1.087826,-0.002552,-2.674208
1787287647546931712.000000,1.092825,-0.005897,-2.666048
1787287647551931648.000000,1.097825,-0.005552,-2.667753
1787287647556931840.000000,1.102826,0.003503,-2.667796
1787287647561931776.000000,1.107826,-0.004034,-2.674338
1787287647566931712.000000,1.112825,0.002692,-2.665768
1787287647571931648.000000,1.117825,-0.007378,-2.667815
1787287647576931840.000000,1.122826,-0.021026,-2.661089
1787287647581931776.000000,1.127826,-0.021605,-2.656564
1787287647586931712.000000,1.132825,-0.027455,-2.650973
1787287647591931648.000000,1.137825,-0.022038,-2.649096
1787287647596931840.000000,1.142826,0.000899,-2.650142
1787287647601931776.000000,1.147826,-0.000377,-2.656679
1787287647606931712.000000,1.152825,0.005122,-2.658361
1787287647611931648.000000,1.157825,0.005780,-2.667068
1787287647616931840.000000,1.162826,-0.000433,-2.672990
1787287647621931776.000000,1.167826,-0.002760,-2.668366
1787287647626931712.000000,1.172825,-0.013528,-2.675572
1787287647631931648.000000,1.177825,-0.017604,-2.675062
1787287647636931840.000000,1.182826,-0.002232,-2.672203
1787287647641931776.000000,1.187826,-0.007444,-2.675610
1787287647646931712.000000,1.192825,-0.004341,-2.674464
1787287647651931648.000000,1.197825,-0.000050,-2.677031
1787287647656931840.000000,1.202826,0.001414,-2.669336
1787287647661931776.000000,1.207826,0.007882,-2.665653
1787287647666931712.000000,1.212825,-0.013712,-2.651938
1787287647671931648.000000,1.217825,-0.008088,-2.658315
1787287647676931840.000000,1.222826,-0.008867,-2.659395
1787287647681931776.000000,1.227826,-0.017547,-2.659939
1787287647686931712.000000,1.232825,-0.016401,-2.666472
1787287647691931648.000000,1.237825,-0.009765,-2.668935
1787287647696931840.000000,1.242826,-0.012228,-2.673861
1787287647701931776.000000,1.247826,-0.010937,-2.672497
1787287647706931712.000000,1.252825,-0.004241,-2.676897
1787287647711931648.000000,1.257825,-0.007284,-2.685205
1787287647716931840.000000,1.262826,0.007128,-2.680140
1787287647721931776.000000,1.267826,-0.002338,-2.672250
1787287647726931712.000000,1.272825,-0.009984,-2.666831
1787287647731931648.000000,1.277825,-0.012054,-2.669970
1787287647736931840.000000,1.282826,-0.009254,-2.660567
1787287647741931776.000000,1.287826,-0.014746,-2.666223
1787287647746931712.000000,1.292825,-0.005977,-2.658794
1787287647751931648.000000,1.297825,-0.009177,-2.656881
1787287647756931840.000000,1.302826,-0.004290,-2.663428
1787287647761931776.000000,1.307826,-0.014917,-2.673274
1787287647766931712.000000,1.312825,-0.002427,-2.669990
1787287647771931648.000000,1.317825,-0.004363,-2.675014
1787287647776931840.000000,1.322826,0.000710,-2.681369
1787287647781931776.000000,1.327826,-0.017596,-2.673919
1787287647786931712.000000,1.332825,-0.013738,-2.686220
1787287647791931648.000000,1.337825,-0.011644,-2.675321
1787287647796931840.000000,1.342826,-0.000944,-2.672250
1787287647801931776.000000,1.347826,-0.003372,-2.666150
1787287647806931712.000000,1.352825,-0.006303,-2.661961
