Time,x,y,z
1.7866285384623345e+18,-3451.4931612014734,367684.0626858517,-5714.808362784381
1.7866285384673344e+18,-9212.293737411495,980521.2820559688,-15294.968845572464
1.7866285384723346e+18,-17261.301823604103,1838448.6854544063,-28765.652612066264
1.7866285384773345e+18,-27590.961971418856,2941497.476090698,-46142.46829975129
1.7866285384823345e+18,-40201.54947628498,4289667.671846008,-67423.93810488224
1.7866285384873344e+18,-55098.5080333662,5883041.017193908,-92598.83821543216
1.7866285384923346e+18,-72292.2738670206,7721454.440414428,-121652.49132573603
1.7866285384973345e+18,-91796.75805574417,9804989.483327942,-154580.30083037852
1.7866285385023345e+18,-113622.42056857824,12133646.002885133,-191384.55561155317
1.7866285385073344e+18,-137781.05519860028,14707555.492092896,-232078.44117736813
1.7866285385123346e+18,-164278.1862459445,17526454.11260193,-276670.58302395814
1.7866285385173345e+18,-193118.5762945151,20590473.488547668,-325170.8245580195
1.7866285385223345e+18,-224304.75804363488,23899613.596088562,-377578.9555827378
1.7866285385273344e+18,-257840.82224501847,27454056.505119324,-433890.9813408135
1.7866285385323346e+18,-293721.42193234205,31253438.403671876,-494093.16098223196
1.7866285385373345e+18,-331944.97473190783,35297941.409324035,-558181.897512474
1.7866285385423345e+18,-372511.83547307487,39587565.59956085,-626152.3199905585
1.7866285385473344e+18,-415424.6828365659,44122543.186120905,-698005.6627552985
1.7866285385523346e+18,-460679.0951953148,48902409.817051694,-773733.981581211
1.7866285385573345e+18,-508279.06894148816,53927397.64448791,-853342.2726502322
1.7866285385623345e+18,-558224.1986289929,59197506.64458801,-936832.2248011015
1.7866285385673344e+18,-610514.3769329975,64713019.24843688,-1024206.9455875395
1.7866285385723346e+18,-665145.2596909497,70473370.70711212,-1115455.6047921607
1.7866285385773345e+18,-722122.6108863375,76478843.36229278,-1210583.0434172056
1.7866285385823345e+18,-781444.7362788197,82729437.2557016,-1309587.839537568
1.7866285385873344e+18,-843110.5698699852,89225485.08546357,-1412470.7807670638
1.7866285385923346e+18,-907111.6601026913,95966321.78315003,-1519215.6079029844
1.7866285385973345e+18,-973450.6895970388,102952280.05880678,-1629819.9095070502
1.7866285386023345e+18,-1042128.4681742068,110183360.04952273,-1744275.1854137941
1.7866285386073344e+18,-1113150.1515777847,117659944.61325319,-1862582.008770327
1.7866285386123346e+18,-1186508.2222991202,125381268.2128992,-1984725.7304886526
1.7866285386173345e+18,-1262204.1827363702,133347713.69449526,-2110710.0527334157
1.7866285386223345e+18,-1340236.9218359252,141559281.1057245,-2240532.650301308
1.7866285386273344e+18,-1420611.6505456897,150016403.43462345,-2374199.5877285046
1.7866285386323346e+18,-1503322.026483042,158718214.6753171,-2511698.050963668
1.7866285386373345e+18,-1588373.6622701713,167665147.80988163,-2653034.12773261
1.7866285386423345e+18,-1675767.758133683,176857202.85619816,-2798205.5503870193
1.7866285386473344e+18,-1765510.1214588783,186294862.9741083,-2947220.9889640417
1.7866285386523346e+18,-1857592.9133345028,195977161.71876073,-3100068.6861310997
1.7866285386573345e+18,-1952022.5651239965,205904582.21423468,-3256759.7153587425
1.7866285386623345e+18,-2048800.7788441442,216077124.36516395,-3417299.5274219643
1.7866285386673344e+18,-2147934.4545680783,226495321.44354898,-3581702.9580462202
1.7866285386723346e+18,-2249414.9016923043,237158106.58352792,-3749957.109709915
1.7866285386773345e+18,-2353246.257789728,248066013.1643882,-3922072.1448216424
1.7866285386823345e+18,-2459427.6846341966,259219041.18016946,-4098049.7303343425
1.7866285386873344e+18,-2567965.6322821593,270617774.1580259,-4277902.244338344
1.7866285386923346e+18,-2678851.069983654,282261044.8350355,-4461614.530323814
1.7866285386973345e+18,-2792091.4576618387,294149436.7681544,-4649197.699798591
1.7866285387023345e+18,-2907686.012503543,306282949.9395014,-4840653.625721534
1.7866285387073344e+18,-3025639.5810959865,318662218.11346745,-5035993.821668265
1.7866285387123346e+18,-3145939.7628049636,331285973.69570655,-5235198.047062143
1.7866285387173345e+18,-3268591.5425638915,344154850.504253,-5438275.758492949
1.7866285387223345e+18,-3393595.2866106844,357268848.55698794,-5645226.123741486
1.7866285387273344e+18,-3520959.6564613488,370628651.8734174,-5856057.651065457
1.7866285387323346e+18,-3650672.323563211,384232892.4681729,-6070748.339295442
1.7866285387373345e+18,-3782739.308933747,398082254.3130774,-6289310.186962082
1.7866285387423345e+18,-3917159.676978274,412176737.4081308,-6511742.859166066
1.7866285387473344e+18,-4053939.3292712313,426517075.9683554,-6738057.324559076
1.7866285387523346e+18,-4193064.7911008126,441101801.62331057,-6968228.882639038
1.7866285387573345e+18,-4334544.220327779,455931648.5939789,-7202266.927583844
1.7866285387623345e+18,-4478378.163910876,471006616.8684396,-7440171.782372029
1.7866285387673344e+18,-4624574.682188139,486327490.81551605,-7681957.425758622
1.7866285387723346e+18,-4773119.287117641,501892701.60815585,-7927600.661279886
